2016-07-16 12:19:15,009 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-16 12:19:15,139 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:19:15,154 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-07-16 12:19:15,164 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:19:15,165 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial9_SwitchCaseStatements/src/test/resources
2016-07-16 12:19:21,718 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial10_Arrays:Tutorial10_Arrays:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial10_Arrays/pom.xml.
2016-07-16 12:19:21,863 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial10_Arrays/src
2016-07-16 12:19:21,863 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Tutorial10_Arrays/src overlaps with sources folder /Tutorial10_Arrays/src
2016-07-16 12:19:21,870 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial10_Arrays/src/test/java because it overlaps with /Tutorial10_Arrays/src
2016-07-16 12:19:21,910 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-16 12:19:22,215 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial10_Arrays:Tutorial10_Arrays:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial10_Arrays/pom.xml.
2016-07-16 12:19:22,271 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial10_Arrays/src
2016-07-16 12:19:22,271 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Tutorial10_Arrays/src overlaps with sources folder /Tutorial10_Arrays/src
